NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
3522,E2710001954201,市営大桐住宅１号館,大阪府大阪市東淀川区大桐1-17-1,1,,,,,,,,,34.74584497,135.5470868,
3523,E2710001956201,三宝寺西公園,大阪府大阪市東淀川区大桐2-10,,,,1,1,,,,,34.74829654,135.5428415,
3524,E2710001957201,今在家公園,大阪府大阪市東淀川区大桐2-2,,,,1,1,,,,,34.74564851,135.5436511,
3525,E2710001958201,市営大桐住宅３号館,大阪府大阪市東淀川区大桐3-1-3,1,,,,,,,,,34.74615352,135.5480309,
3526,E2710001960201,市営大桐住宅５号館,大阪府大阪市東淀川区大桐3-3-5,1,,,,,,,,,34.74688997,135.5475342,
3527,E2710001961201,市営大桐住宅６号館,大阪府大阪市東淀川区大桐3-5-6,1,,,,,,,,,34.74752911,135.5475395,
3528,E2710001962201,大桐公園,大阪府大阪市東淀川区大桐3-8,,,,1,1,,,,,34.747344,135.5458713,
3529,E2710001963202,大桐小学校（運動場）,大阪府大阪市東淀川区大桐4-1-15,,,,1,1,,,,1,34.74776156,135.5487351,
3530,E2710001963201,大桐小学校,大阪府大阪市東淀川区大桐4-1-15,1,,,,,,,,1,34.74757203,135.5483471,
3531,E2710001964201,東大道公園,大阪府大阪市東淀川区大桐4-3,,,,1,1,,,,,34.74625951,135.5516759,
3532,E2710001965202,大桐中学校（運動場）,大阪府大阪市東淀川区大桐4-5-8,,,,1,1,,,,1,34.74874822,135.5493775,
3533,E2710001965201,大桐中学校,大阪府大阪市東淀川区大桐4-5-8,1,,,,,,,,1,34.74894216,135.548732,
3534,E2710001966201,大隅公園,大阪府大阪市東淀川区大桐5-14,,,,1,1,,,,,34.74980555,135.5502414,
3535,E2710001967201,市営北大桐住宅１号館,大阪府大阪市東淀川区大桐5-5-1,1,,,,,,,,,34.75114585,135.5488041,
3536,E2710001968201,市営北大桐住宅３号館,大阪府大阪市東淀川区大桐5-7-3,1,,,,,,,,,34.75082764,135.5493803,
3537,E2710001970201,大門公園,大阪府大阪市東淀川区大隅1-5,,,,1,1,,,,,34.74819836,135.5407892,
3538,E2710001971201,大隅西小学校,大阪府大阪市東淀川区大隅2-3-18,1,,,,,,,,1,34.75108242,135.5464726,
3539,E2710001971202,大隅西小学校（運動場）,大阪府大阪市東淀川区大隅2-3-18,,,,1,1,,,,1,34.75075185,135.546123,
3540,E2710001972201,能条東公園,大阪府大阪市東淀川区大道南1-19,,,,1,1,,,,,34.74279733,135.5492895,
3541,E2710001973201,大道南小学校,大阪府大阪市東淀川区大道南1-23-6,1,,,,,,,,1,34.74292943,135.5502949,
3542,E2710001973202,大道南小学校（運動場）,大阪府大阪市東淀川区大道南1-23-6,,,,1,1,,,,1,34.74306167,135.5497871,
3543,E2710001974201,大道南公園,大阪府大阪市東淀川区大道南1-30,,,,1,1,,,,,34.743162586584,135.55175628752,
3544,E2710001975201,竹間公園,大阪府大阪市東淀川区大道南1-5,,,,1,1,,,,,34.74081788,135.5491784,
3545,E2710001976201,市営大道南住宅１号館,大阪府大阪市東淀川区大道南1-8-1,1,,,,,,,,,34.74293079,135.5483265,
3546,E2710001977201,市営大道南住宅２号館,大阪府大阪市東淀川区大道南1-8-2,1,,,,,,,,,34.74225801,135.548166,
3547,E2710001978201,市営大道南住宅３号館,大阪府大阪市東淀川区大道南1-8-3,1,,,,,,,,,34.74182161,135.5478817,
3548,E2710001979201,大道公園,大阪府大阪市東淀川区大道南2-16,,,,1,1,,,,,34.74453156,135.5501706,
3549,E2710001980201,大道北公園,大阪府大阪市東淀川区大道南2-19,,,,1,1,,,,,34.745714666476,135.54889143195,
